# host                  id     x     y     z stress   t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop       STAT_EXE.2560  2560  2560   250     0    153.08      1.58
boskop            EMU.2560  2560  2560   250     0    144.94    141.40     11.79     12.16  90775.35 0.47 0.75  1.25   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    144.29    140.76     11.93     12.23  90770.61 0.47 0.75  1.32   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    144.67    141.13     11.44     12.23  90787.46 0.47 0.75  1.22   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    142.68    139.15     11.53     12.13  90803.42 0.48 0.76  1.17   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    145.43    141.90     11.94     12.16  90771.09 0.47 0.75  1.23   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    144.59    141.06     11.95     12.16  90806.77 0.47 0.75  1.15   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    144.88    141.34     11.94     12.19  90953.14 0.47 0.75  1.19   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    144.69    141.15     11.91     12.23  90807.55 0.47 0.75  1.56   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     0    143.60    140.07     11.92     12.19  90943.03 0.47 0.75  1.51   2001.23   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     0    144.47    140.93     11.83     12.19  90837.78 0.47 0.75  1.28   2001.23   1438.00
boskop        STD_EMU.2560  2560  2560   250     0      0.75      0.75      0.18      0.04     75.91 0.00 0.00  0.14      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     0    144.47      0.75    140.93      0.75     11.83      0.18     12.19      0.04  90837.78     75.91 0.47 0.00 0.75 0.00  1.28  0.14   2001.23      0.00   1438.00      0.00

boskop       STAT_EXE.2560  2560  2560   250     1    150.90      0.89
boskop            PRO.2560  2560  2560   250     1    152.28 --------- --------- ---------  92650.52 0.45 0.82  2.35   1871.84   1437.55
boskop            PRO.2560  2560  2560   250     1    154.46 --------- --------- ---------  92854.26 0.45 0.81  2.14   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    152.20 --------- --------- ---------  92731.51 0.46 0.82  2.29   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    154.09 --------- --------- ---------  92968.98 0.45 0.81  2.19   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    153.55 --------- --------- ---------  92633.70 0.45 0.82  2.29   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    155.20 --------- --------- ---------  92770.99 0.45 0.81  2.29   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    155.54 --------- --------- ---------  92643.47 0.45 0.81  2.17   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    155.53 --------- --------- ---------  92840.43 0.45 0.82  2.12   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    153.23 --------- --------- ---------  92770.07 0.45 0.82  2.03   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     1    154.93 --------- --------- ---------  92925.31 0.45 0.81  2.06   2016.02   1437.55
boskop       MEAN_PRO.2560  2560  2560   250     1    154.10 --------- --------- ---------  92778.92 0.45 0.82  2.19   2001.60   1437.55
boskop        STD_PRO.2560  2560  2560   250     1      1.19 --------- --------- ---------    111.95 0.00 0.00  0.10     43.25      0.00
boskop       STAT_PRO.2560  2560  2560   250     1    154.10      1.19 --------- --------- --------- --------- --------- ---------  92778.92    111.95 0.45 0.00 0.82 0.00  2.19  0.10   2001.60     43.25   1437.55      0.00
boskop            EMU.2560  2560  2560   250     1    144.62    141.06     12.02     12.53  90893.52 0.47 0.75  2.18   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    145.40    141.87     12.32     12.60  90722.83 0.47 0.75  2.18   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    143.82    140.30     12.05     12.50  90750.85 0.47 0.75  2.18   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    144.36    140.83     12.17     12.38  90758.84 0.47 0.75  2.08   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    143.98    140.45     11.98     12.33  90717.20 0.47 0.75  2.04   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    144.87    141.34     12.27     12.28  90727.93 0.47 0.75  2.04   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    144.94    141.42     12.05     12.22  90882.31 0.47 0.75  2.05   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    144.66    141.14     12.04     12.30  90905.67 0.47 0.75  2.06   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    144.96    141.43     11.94     12.25  90744.35 0.47 0.75  2.04   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     1    143.93    140.40     12.22     12.10  90733.11 0.47 0.75  2.08   2001.23   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     1    144.55    141.02     12.11     12.35  90783.66 0.47 0.75  2.09   2001.23   1438.00
boskop        STD_EMU.2560  2560  2560   250     1      0.49      0.49      0.12      0.15     73.28 0.00 0.00  0.06      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     1    144.55      0.49    141.02      0.49     12.11      0.12     12.35      0.15  90783.66     73.28 0.47 0.00 0.75 0.00  2.09  0.06   2001.23      0.00   1438.00      0.00

boskop       STAT_EXE.2560  2560  2560   250     2    149.68      0.69
boskop            PRO.2560  2560  2560   250     2    154.35 --------- --------- ---------  92778.95 0.45 0.82  3.22   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    153.70 --------- --------- ---------  92731.96 0.45 0.82  3.13   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    154.17 --------- --------- ---------  92607.65 0.45 0.82  3.13   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    153.94 --------- --------- ---------  92671.73 0.45 0.82  3.07   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    154.16 --------- --------- ---------  92619.68 0.45 0.82  3.12   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    155.20 --------- --------- ---------  92724.81 0.45 0.82  3.28   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    153.77 --------- --------- ---------  92718.80 0.45 0.82  3.33   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    153.63 --------- --------- ---------  92671.33 0.45 0.82  3.24   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    154.20 --------- --------- ---------  92706.98 0.45 0.82  3.24   2016.00   1437.55
boskop            PRO.2560  2560  2560   250     2    155.03 --------- --------- ---------  92708.71 0.45 0.82  3.07   2016.00   1437.55
boskop       MEAN_PRO.2560  2560  2560   250     2    154.22 --------- --------- ---------  92694.06 0.45 0.82  3.18   2016.00   1437.55
boskop        STD_PRO.2560  2560  2560   250     2      0.50 --------- --------- ---------     49.60 0.00 0.00  0.09      0.00      0.00
boskop       STAT_PRO.2560  2560  2560   250     2    154.22      0.50 --------- --------- --------- --------- --------- ---------  92694.06     49.60 0.45 0.00 0.82 0.00  3.18  0.09   2016.00      0.00   1437.55      0.00
boskop            EMU.2560  2560  2560   250     2    147.07    143.54     13.39     12.31  90691.38 0.46 0.75  3.07   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    147.73    144.20     13.64     12.38  90724.18 0.46 0.75  3.05   2016.44   1438.00
boskop            EMU.2560  2560  2560   250     2    146.80    143.27     13.82     12.36  90713.84 0.46 0.75  2.98   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    145.80    142.27     13.81     12.37  90742.07 0.47 0.75  3.13   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    145.65    142.12     13.29     12.27  90687.20 0.47 0.75  3.08   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    146.84    143.31     13.81     12.26  90875.32 0.46 0.75  3.05   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    146.89    143.36     13.42     12.22  90876.96 0.46 0.75  3.06   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    146.73    143.20     13.92     12.21  90882.16 0.46 0.75  3.07   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    147.19    143.66     13.82     12.30  90696.03 0.46 0.75  3.06   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     2    146.10    142.57     13.87     12.28  90873.07 0.46 0.75  3.10   2016.45   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     2    146.68    143.15     13.68     12.30  90776.22 0.46 0.75  3.06   2016.44   1438.00
boskop        STD_EMU.2560  2560  2560   250     2      0.61      0.61      0.22      0.06     83.60 0.00 0.00  0.04      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     2    146.68      0.61    143.15      0.61     13.68      0.22     12.30      0.06  90776.22     83.60 0.46 0.00 0.75 0.00  3.06  0.04   2016.44      0.00   1438.00      0.00


# host                  id     x     y     z stress   t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop            EXE.2560  2560  2560   250     3    177.54
boskop            EXE.2560  2560  2560   250     3    178.21
boskop            EXE.2560  2560  2560   250     3    174.44
boskop            EXE.2560  2560  2560   250     3    175.39
boskop            EXE.2560  2560  2560   250     3    176.70
boskop            EXE.2560  2560  2560   250     3    177.88
boskop            EXE.2560  2560  2560   250     3    176.99
boskop            EXE.2560  2560  2560   250     3    174.65
boskop            EXE.2560  2560  2560   250     3    178.00
boskop            EXE.2560  2560  2560   250     3    175.12
boskop       STAT_EXE.2560  2560  2560   250     3    176.49      1.39
boskop            PRO.2560  2560  2560   250     3    177.01 --------- --------- ---------  92613.10 0.39 0.83  4.18   1872.01   1437.55
boskop            PRO.2560  2560  2560   250     3    177.73 --------- --------- ---------  92931.03 0.39 0.82  4.12   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    176.76 --------- --------- ---------  92712.10 0.39 0.82  4.12   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    180.85 --------- --------- ---------  92882.41 0.38 0.82  4.16   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    176.18 --------- --------- ---------  92638.06 0.39 0.82  4.24   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    181.54 --------- --------- ---------  92910.62 0.38 0.82  4.14   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    176.10 --------- --------- ---------  92661.51 0.39 0.82  4.18   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    177.80 --------- --------- ---------  92970.20 0.39 0.82  4.17   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    179.61 --------- --------- ---------  92723.96 0.39 0.82  4.07   2016.02   1437.55
boskop            PRO.2560  2560  2560   250     3    180.04 --------- --------- ---------  92887.41 0.39 0.82  4.08   2016.02   1437.55
boskop       MEAN_PRO.2560  2560  2560   250     3    178.36 --------- --------- ---------  92793.04 0.39 0.82  4.15   2001.62   1437.55
boskop        STD_PRO.2560  2560  2560   250     3      1.89 --------- --------- ---------    128.91 0.00 0.00  0.05     43.20      0.00
boskop       STAT_PRO.2560  2560  2560   250     3    178.36      1.89 --------- --------- --------- --------- --------- ---------  92793.04    128.91 0.39 0.00 0.82 0.00  4.15  0.05   2001.62     43.20   1437.55      0.00
boskop            EMU.2560  2560  2560   250     3    171.28    167.75     13.37     12.29  90834.29 0.40 0.75  4.04   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.54    168.01     13.74     12.35  90810.93 0.40 0.75  4.09   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.43    167.89     13.23     12.24  90894.15 0.40 0.75  4.04   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.60    168.07     13.72     12.36  90889.01 0.40 0.75  4.12   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.97    168.43     13.82     12.36  90912.59 0.40 0.75  4.26   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.97    168.43     13.51     12.36  90856.06 0.39 0.75  4.16   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.15    167.62     13.54     12.22  90888.03 0.40 0.75  4.04   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.34    167.80     13.71     12.36  90869.60 0.40 0.75  4.05   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.47    167.93     13.76     12.22  90893.19 0.40 0.75  4.05   2001.23   1438.00
boskop            EMU.2560  2560  2560   250     3    171.05    167.51     13.54     12.22  90823.74 0.40 0.75  4.41   2001.23   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     3    171.48    167.94     13.59     12.30  90867.16 0.40 0.75  4.13   2001.23   1438.00
boskop        STD_EMU.2560  2560  2560   250     3      0.29      0.29      0.18      0.06     32.62 0.00 0.00  0.12      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     3    171.48      0.29    167.94      0.29     13.59      0.18     12.30      0.06  90867.16     32.62 0.40 0.00 0.75 0.00  4.13  0.12   2001.23      0.00   1438.00      0.00

boskop            EXE.2560  2560  2560   250     4    171.02
boskop            EXE.2560  2560  2560   250     4    171.20
boskop            EXE.2560  2560  2560   250     4    172.13
boskop            EXE.2560  2560  2560   250     4    172.21
boskop            EXE.2560  2560  2560   250     4    173.72
boskop            EXE.2560  2560  2560   250     4    172.53
boskop            EXE.2560  2560  2560   250     4    172.45
boskop            EXE.2560  2560  2560   250     4    173.22
boskop            EXE.2560  2560  2560   250     4    173.17
boskop            EXE.2560  2560  2560   250     4    172.64
boskop       STAT_EXE.2560  2560  2560   250     4    172.43      0.81
boskop            PRO.2560  2560  2560   250     4    176.07 --------- --------- ---------  92674.01 0.39 0.82  5.33   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    176.72 --------- --------- ---------  92717.34 0.39 0.82  5.12   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    176.53 --------- --------- ---------  92600.49 0.39 0.82  5.09   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    175.85 --------- --------- ---------  92766.81 0.39 0.82  5.17   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    176.20 --------- --------- ---------  92671.39 0.39 0.82  5.25   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    176.41 --------- --------- ---------  92714.33 0.39 0.82  5.23   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    176.23 --------- --------- ---------  92704.45 0.39 0.82  5.11   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    178.37 --------- --------- ---------  92719.63 0.39 0.82  5.11   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    177.78 --------- --------- ---------  92745.05 0.39 0.82  5.11   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     4    178.38 --------- --------- ---------  92729.80 0.39 0.82  5.16   2015.98   1437.55
boskop       MEAN_PRO.2560  2560  2560   250     4    176.85 --------- --------- ---------  92704.33 0.39 0.82  5.17   2015.98   1437.55
boskop        STD_PRO.2560  2560  2560   250     4      0.91 --------- --------- ---------     44.16 0.00 0.00  0.07      0.00      0.00
boskop       STAT_PRO.2560  2560  2560   250     4    176.85      0.91 --------- --------- --------- --------- --------- ---------  92704.33     44.16 0.39 0.00 0.82 0.00  5.17  0.07   2015.98      0.00   1437.55      0.00
boskop            EMU.2560  2560  2560   250     4    169.23    165.70     14.07     12.59  90843.16 0.40 0.75  5.16   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    234.04    230.44     15.53     12.36  90759.95 0.29 0.71  5.12   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    216.31    212.63     19.08     12.90  90839.81 0.31 0.66  5.03   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    198.74    195.12     18.34     13.19  90808.83 0.34 0.69  5.12   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    171.61    168.07     14.10     12.54  90772.25 0.40 0.75  5.10   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    214.24    210.64     14.30     12.68  90851.10 0.32 0.68  5.10   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    217.94    214.26     20.66     13.10  90781.74 0.31 0.66  5.03   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    297.30    293.61     20.44     13.23  90821.52 0.23 0.64  5.01   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    170.88    167.27     14.14     12.55  90819.26 0.40 0.75  5.35   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     4    170.69    167.15     14.33     12.47  90790.13 0.40 0.75  5.35   2015.41   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     4    206.10    202.49     16.50     12.76  90808.78 0.34 0.70  5.14   2015.41   1438.00
boskop        STD_EMU.2560  2560  2560   250     4     38.09     38.04      2.66      0.30     30.01 0.06 0.04  0.12      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     4    206.10     38.09    202.49     38.04     16.50      2.66     12.76      0.30  90808.78     30.01 0.34 0.06 0.70 0.04  5.14  0.12   2015.41      0.00   1438.00      0.00

boskop            EXE.2560  2560  2560   250     5    273.79
boskop            EXE.2560  2560  2560   250     5    290.68
boskop            EXE.2560  2560  2560   250     5    266.93
boskop            EXE.2560  2560  2560   250     5    295.79
boskop            EXE.2560  2560  2560   250     5    252.31
boskop            EXE.2560  2560  2560   250     5    267.81
boskop            EXE.2560  2560  2560   250     5    256.24
boskop            EXE.2560  2560  2560   250     5    302.09
boskop            EXE.2560  2560  2560   250     5    256.90
boskop            EXE.2560  2560  2560   250     5    272.58
boskop       STAT_EXE.2560  2560  2560   250     5    273.51     16.46
boskop            PRO.2560  2560  2560   250     5    248.43 --------- --------- ---------  92769.95 0.28 0.72  6.13   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    311.50 --------- --------- ---------  92868.34 0.22 0.68  6.06   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    261.36 --------- --------- ---------  92674.80 0.27 0.72  6.34   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    253.26 --------- --------- ---------  92921.56 0.27 0.70  6.23   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    230.66 --------- --------- ---------  92739.88 0.30 0.71  6.11   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    281.90 --------- --------- ---------  92845.35 0.25 0.72  6.13   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    278.34 --------- --------- ---------  92705.28 0.25 0.72  6.11   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    236.15 --------- --------- ---------  92853.23 0.29 0.71  6.10   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    259.20 --------- --------- ---------  92675.09 0.27 0.71  6.04   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     5    266.04 --------- --------- ---------  92835.25 0.26 0.72  6.10   2015.98   1437.55
boskop       MEAN_PRO.2560  2560  2560   250     5    262.68 --------- --------- ---------  92788.87 0.27 0.71  6.13   2015.98   1437.55
boskop        STD_PRO.2560  2560  2560   250     5     22.46 --------- --------- ---------     83.13 0.02 0.01  0.08      0.00      0.00
boskop       STAT_PRO.2560  2560  2560   250     5    262.68     22.46 --------- --------- --------- --------- --------- ---------  92788.87     83.13 0.27 0.02 0.71 0.01  6.13  0.08   2015.98      0.00   1437.55      0.00
boskop            EMU.2560  2560  2560   250     5    236.99    233.30     22.53     13.46  90889.98 0.29 0.67  6.02   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    266.94    263.25     21.21     13.99  90917.42 0.25 0.66  6.10   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    243.16    239.48     22.77     13.87  90861.87 0.28 0.66  6.11   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    220.55    216.87     23.48     13.67  90897.63 0.31 0.66  6.18   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    259.73    256.03     22.62     13.54  90933.89 0.26 0.66  6.03   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    274.61    270.89     22.87     13.77  90948.47 0.25 0.65  6.03   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    231.31    227.59     22.80     13.89  90850.60 0.29 0.66  6.12   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    227.63    223.94     23.32     13.53  90909.43 0.30 0.66  6.12   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    269.64    265.95     22.64     13.60  90912.78 0.25 0.64  6.01   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     5    226.63    222.92     22.99     13.28  90883.31 0.30 0.66  5.95   2015.41   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     5    245.72    242.02     22.72     13.66  90900.54 0.28 0.66  6.07   2015.41   1438.00
boskop        STD_EMU.2560  2560  2560   250     5     19.15     19.15      0.58      0.21     28.86 0.02 0.01  0.07      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     5    245.72     19.15    242.02     19.15     22.72      0.58     13.66      0.21  90900.54     28.86 0.28 0.02 0.66 0.01  6.07  0.07   2015.41      0.00   1438.00      0.00

boskop            EXE.2560  2560  2560   250     6    293.10
boskop            EXE.2560  2560  2560   250     6    288.86
boskop            EXE.2560  2560  2560   250     6    287.09
boskop            EXE.2560  2560  2560   250     6    292.28
boskop            EXE.2560  2560  2560   250     6    289.70
boskop            EXE.2560  2560  2560   250     6    285.01
boskop            EXE.2560  2560  2560   250     6    291.77
boskop            EXE.2560  2560  2560   250     6    288.63
boskop            EXE.2560  2560  2560   250     6    283.60
boskop            EXE.2560  2560  2560   250     6    288.85
boskop       STAT_EXE.2560  2560  2560   250     6    288.89      2.91
boskop            PRO.2560  2560  2560   250     6    284.15 --------- --------- ---------  92758.90 0.24 0.71  7.25   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    281.91 --------- --------- ---------  92729.06 0.25 0.71  7.15   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    287.30 --------- --------- ---------  92740.04 0.24 0.71  7.03   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    289.09 --------- --------- ---------  92732.93 0.24 0.71  7.17   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    284.54 --------- --------- ---------  92727.64 0.24 0.71  7.17   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    291.78 --------- --------- ---------  92673.83 0.24 0.71  7.10   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    281.37 --------- --------- ---------  92715.45 0.25 0.71  7.10   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    281.52 --------- --------- ---------  92713.40 0.25 0.71  7.06   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    287.88 --------- --------- ---------  92786.68 0.24 0.71  7.46   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     6    282.05 --------- --------- ---------  92697.87 0.25 0.71  7.35   2015.98   1437.55
boskop       MEAN_PRO.2560  2560  2560   250     6    285.16 --------- --------- ---------  92727.58 0.24 0.71  7.18   2015.98   1437.55
boskop        STD_PRO.2560  2560  2560   250     6      3.47 --------- --------- ---------     29.63 0.00 0.00  0.13      0.00      0.00
boskop       STAT_PRO.2560  2560  2560   250     6    285.16      3.47 --------- --------- --------- --------- --------- ---------  92727.58     29.63 0.24 0.00 0.71 0.00  7.18  0.13   2015.98      0.00   1437.55      0.00
boskop            EMU.2560  2560  2560   250     6    274.17    270.32     26.46     13.37  90848.87 0.25 0.66  7.18   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    277.25    273.33     26.50     13.93  90852.97 0.24 0.66  7.01   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    278.65    274.73     26.83     13.52  90856.38 0.24 0.65  7.01   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    269.78    265.80     25.75     13.68  90835.23 0.25 0.66  7.08   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    284.47    280.57     27.09     13.76  90896.03 0.24 0.65  7.01   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    277.10    273.20     25.81     13.71  90818.97 0.24 0.66  7.02   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    273.46    269.62     26.85     13.80  90850.07 0.25 0.66  7.02   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    274.79    271.02     26.20     13.86  90836.39 0.25 0.66  7.01   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    275.82    271.97     26.45     13.52  90862.61 0.25 0.66  7.03   2015.41   1438.00
boskop            EMU.2560  2560  2560   250     6    274.53    270.70     26.67     13.74  90808.95 0.25 0.66  7.03   2015.41   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     6    276.00    272.13     26.46     13.69  90846.65 0.25 0.66  7.04   2015.41   1438.00
boskop        STD_EMU.2560  2560  2560   250     6      3.66      3.65      0.42      0.16     22.95 0.00 0.00  0.05      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     6    276.00      3.66    272.13      3.65     26.46      0.42     13.69      0.16  90846.65     22.95 0.25 0.00 0.66 0.00  7.04  0.05   2015.41      0.00   1438.00      0.00

boskop            EXE.2560  2560  2560   250     7    337.95
boskop            EXE.2560  2560  2560   250     7    334.47
boskop            EXE.2560  2560  2560   250     7    337.35
boskop            EXE.2560  2560  2560   250     7    335.25
boskop            EXE.2560  2560  2560   250     7    335.72
boskop            EXE.2560  2560  2560   250     7    340.98
boskop            EXE.2560  2560  2560   250     7    339.19
boskop            EXE.2560  2560  2560   250     7    329.86
boskop            EXE.2560  2560  2560   250     7    339.52
boskop            EXE.2560  2560  2560   250     7    332.42
boskop       STAT_EXE.2560  2560  2560   250     7    336.27      3.25
boskop            PRO.2560  2560  2560   250     7    337.02 --------- --------- ---------  92705.65 0.21 0.71  8.12   2015.98   1437.55
boskop            PRO.2560  2560  2560   250     7    339.62 --------- --------- ---------  92884.87 0.20 0.71  8.12   2015.98   1437.55
